symbol,fiscal_year,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Earnings From Equity Interest,Total Other Finance Cost,Restructuring And Mergern Acquisition,Earnings From Equity Interest Net Of Tax,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Salaries And Wages,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Other Special Charges,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Impairment Of Capital Assets,Minority Interests,Net Income Discontinuous Operations,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Taxes,Average Dilution Earnings,Rent Expense Supplemental
AAPL,2025-09-30,0.0,0.156,144748000000.0,112010000000.0,11698000000.0,220960000000.0,144748000000.0,133050000000.0,,,,112010000000.0,112010000000.0,283111000000.0,133050000000.0,15004697000.0,14948500000.0,7.46,7.49,112010000000.0,112010000000.0,112010000000.0,112010000000.0,112010000000.0,20719000000.0,132729000000.0,-321000000.0,-321000000.0,,,,133050000000.0,62151000000.0,34550000000.0,27601000000.0,195201000000.0,220960000000.0,416161000000.0,416161000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-09-30,0.0,0.241,134661000000.0,93736000000.0,11445000000.0,210352000000.0,134661000000.0,123216000000.0,,,,93736000000.0,93736000000.0,267819000000.0,123216000000.0,15408095000.0,15343783000.0,6.08,6.11,93736000000.0,93736000000.0,93736000000.0,93736000000.0,93736000000.0,29749000000.0,123485000000.0,269000000.0,269000000.0,,,,123216000000.0,57467000000.0,31370000000.0,26097000000.0,180683000000.0,210352000000.0,391035000000.0,391035000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2023-09-30,0.0,0.147,125820000000.0,96995000000.0,11519000000.0,214137000000.0,125820000000.0,114301000000.0,-183000000.0,3933000000.0,3750000000.0,96995000000.0,96995000000.0,268984000000.0,114301000000.0,15812547000.0,15744231000.0,6.13,6.16,96995000000.0,96995000000.0,96995000000.0,96995000000.0,96995000000.0,16741000000.0,113736000000.0,-565000000.0,-565000000.0,-183000000.0,3933000000.0,3750000000.0,114301000000.0,54847000000.0,29915000000.0,24932000000.0,169148000000.0,214137000000.0,383285000000.0,383285000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2022-09-30,0.0,0.162,130541000000.0,99803000000.0,11104000000.0,223546000000.0,130541000000.0,119437000000.0,-106000000.0,2931000000.0,2825000000.0,99803000000.0,99803000000.0,274891000000.0,119437000000.0,16325819000.0,16215963000.0,6.11,6.15,99803000000.0,99803000000.0,99803000000.0,99803000000.0,99803000000.0,19300000000.0,119103000000.0,-334000000.0,-334000000.0,-106000000.0,2931000000.0,2825000000.0,119437000000.0,51345000000.0,26251000000.0,25094000000.0,170782000000.0,223546000000.0,394328000000.0,394328000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2021-09-30,,,,,,,,,198000000.0,2645000000.0,2843000000.0,,,,,,,,,,,,,,,,,,198000000.0,2645000000.0,2843000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2025-06-30,-77088000.0,0.176,160603000000.0,101832000000.0,34153000000.0,87831000000.0,160165000000.0,126012000000.0,262000000.0,2385000000.0,2647000000.0,102192912000.0,101832000000.0,153196000000.0,128528000000.0,7465000000.0,7433000000.0,13.64,13.7,101832000000.0,101832000000.0,101832000000.0,101832000000.0,101832000000.0,21795000000.0,123627000000.0,-5163000000.0,-4725000000.0,262000000.0,2385000000.0,2647000000.0,128528000000.0,65365000000.0,32488000000.0,32877000000.0,193893000000.0,87831000000.0,281724000000.0,281724000000.0,-438000000.0,-438000000.0,-943000000.0,943000000.0,505000000.0,25654000000.0,7223000000.0,7223000000.0,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-06-30,-99918000.0,0.182,133558000000.0,88136000000.0,22287000000.0,74114000000.0,133009000000.0,110722000000.0,222000000.0,2935000000.0,3157000000.0,88585082000.0,88136000000.0,135689000000.0,109433000000.0,7469000000.0,7431000000.0,11.8,11.86,88136000000.0,88136000000.0,88136000000.0,88136000000.0,88136000000.0,19651000000.0,107787000000.0,-1868000000.0,-1319000000.0,222000000.0,2935000000.0,3157000000.0,109433000000.0,61575000000.0,29510000000.0,32065000000.0,171008000000.0,74114000000.0,245122000000.0,245122000000.0,-549000000.0,-549000000.0,-206000000.0,206000000.0,-343000000.0,24456000000.0,7609000000.0,7609000000.0,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-06-30,-2850000.0,0.19,105155000000.0,72361000000.0,13861000000.0,65863000000.0,105140000000.0,91279000000.0,1026000000.0,1968000000.0,2994000000.0,72373150000.0,72361000000.0,123392000000.0,88523000000.0,7472000000.0,7446000000.0,9.68,9.72,72361000000.0,72361000000.0,72361000000.0,72361000000.0,72361000000.0,16950000000.0,89311000000.0,-238000000.0,-223000000.0,1026000000.0,1968000000.0,2994000000.0,88523000000.0,57529000000.0,27195000000.0,30334000000.0,146052000000.0,65863000000.0,211915000000.0,211915000000.0,-15000000.0,-15000000.0,-30000000.0,30000000.0,15000000.0,22759000000.0,7575000000.0,7575000000.0,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2022-06-30,43754000.0,0.131,99905000000.0,72738000000.0,14460000000.0,62650000000.0,100239000000.0,85779000000.0,31000000.0,2063000000.0,2094000000.0,72447754000.0,72738000000.0,114887000000.0,83383000000.0,7540000000.0,7496000000.0,9.65,9.7,72738000000.0,72738000000.0,72738000000.0,72738000000.0,72738000000.0,10978000000.0,83716000000.0,302000000.0,-32000000.0,31000000.0,2063000000.0,2094000000.0,83383000000.0,52237000000.0,24512000000.0,27725000000.0,135620000000.0,62650000000.0,198270000000.0,198270000000.0,334000000.0,334000000.0,-101000000.0,101000000.0,435000000.0,21825000000.0,5900000000.0,5900000000.0,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2025-12-31,4119192000.0,0.168,156179000000.0,132170000000.0,21136000000.0,162535000000.0,180698000000.0,159562000000.0,3601000000.0,736000000.0,4337000000.0,111770192000.0,132170000000.0,273797000000.0,129039000000.0,12230000000.0,12116000000.0,10.81,10.91,132170000000.0,132170000000.0,132170000000.0,132170000000.0,132170000000.0,26656000000.0,158826000000.0,26186000000.0,1667000000.0,3601000000.0,736000000.0,4337000000.0,129039000000.0,111262000000.0,61087000000.0,50175000000.0,240301000000.0,162535000000.0,402836000000.0,402836000000.0,24519000000.0,24519000000.0,281000000.0,-281000000.0,24238000000.0,28693000000.0,21482000000.0,21482000000.0,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2024-12-31,340136000.0,0.164,133320000000.0,100118000000.0,15311000000.0,146306000000.0,135394000000.0,120083000000.0,4214000000.0,268000000.0,4482000000.0,98384136000.0,100118000000.0,237628000000.0,112390000000.0,12447000000.0,12319000000.0,8.04,8.13,100118000000.0,100118000000.0,100118000000.0,100118000000.0,100118000000.0,19697000000.0,119815000000.0,3211000000.0,1137000000.0,4214000000.0,268000000.0,4482000000.0,112390000000.0,91322000000.0,49326000000.0,41996000000.0,203712000000.0,146306000000.0,350018000000.0,350018000000.0,2074000000.0,2074000000.0,-188000000.0,188000000.0,2262000000.0,27808000000.0,14188000000.0,14188000000.0,-188000000.0,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2023-12-31,-373771000.0,0.139,100660000000.0,73795000000.0,11946000000.0,133332000000.0,97971000000.0,86025000000.0,3557000000.0,308000000.0,3865000000.0,76110229000.0,73795000000.0,223101000000.0,84293000000.0,12722000000.0,12630000000.0,5.8,5.84,73795000000.0,73795000000.0,73795000000.0,73795000000.0,73795000000.0,11922000000.0,85717000000.0,-2133000000.0,556000000.0,3557000000.0,308000000.0,3865000000.0,84293000000.0,89769000000.0,45427000000.0,44342000000.0,174062000000.0,133332000000.0,307394000000.0,307394000000.0,-2689000000.0,-2689000000.0,-628000000.0,628000000.0,-2061000000.0,27917000000.0,16425000000.0,16425000000.0,-628000000.0,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2022-12-31,-1035090000.0,0.159,91670000000.0,59972000000.0,13475000000.0,126203000000.0,85160000000.0,71685000000.0,1817000000.0,357000000.0,2174000000.0,65446910000.0,59972000000.0,207994000000.0,74842000000.0,13159000000.0,13063000000.0,4.56,4.59,59972000000.0,59972000000.0,59972000000.0,59972000000.0,59972000000.0,11356000000.0,71328000000.0,-5331000000.0,1179000000.0,1817000000.0,357000000.0,2174000000.0,74842000000.0,81791000000.0,39500000000.0,42291000000.0,156633000000.0,126203000000.0,282836000000.0,282836000000.0,-6510000000.0,-6510000000.0,-337000000.0,337000000.0,-6173000000.0,26567000000.0,15724000000.0,15724000000.0,-337000000.0,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334000000.0,,,,,,,,,,,,,,,,,,,,,,,
META,2025-12-31,104348182.283666,0.296444,105361000000.0,60458000000.0,18616000000.0,36175000000.0,105713000000.0,87097000000.0,958000000.0,1165000000.0,2123000000.0,60210348182.28367,60458000000.0,117690000000.0,83276000000.0,,,,,60458000000.0,60458000000.0,60458000000.0,60458000000.0,60458000000.0,25474000000.0,85932000000.0,1698000000.0,1346000000.0,958000000.0,1165000000.0,2123000000.0,83276000000.0,81515000000.0,57372000000.0,24143000000.0,164791000000.0,36175000000.0,200966000000.0,198382000000.0,352000000.0,352000000.0,,,352000000.0,11991000000.0,12152000000.0,12152000000.0,,-1346000000.0,,,,,,,,,,,,,,,,,,,,,,
META,2024-12-31,-81075952.054116,0.117501,87566000000.0,62360000000.0,15498000000.0,30161000000.0,86876000000.0,71378000000.0,1802000000.0,715000000.0,2517000000.0,62968924047.945885,62360000000.0,95121000000.0,69380000000.0,2614000000.0,2534000000.0,23.86,24.61,62360000000.0,62360000000.0,62360000000.0,62360000000.0,62360000000.0,8303000000.0,70663000000.0,-519000000.0,171000000.0,1802000000.0,715000000.0,2517000000.0,69380000000.0,64960000000.0,43873000000.0,21087000000.0,134340000000.0,30161000000.0,164501000000.0,162779000000.0,-690000000.0,-690000000.0,,,-690000000.0,11347000000.0,9740000000.0,9740000000.0,,-171000000.0,,,,,,,,,,,,,,,,,,,,,,
META,2023-12-31,-64416000.0,0.176,59418000000.0,39098000000.0,11178000000.0,25959000000.0,59052000000.0,47874000000.0,1193000000.0,446000000.0,1639000000.0,39399584000.0,39098000000.0,88151000000.0,46751000000.0,2629000000.0,2574000000.0,14.87,15.19,39098000000.0,39098000000.0,39098000000.0,39098000000.0,39098000000.0,8330000000.0,47428000000.0,-516000000.0,-150000000.0,1193000000.0,446000000.0,1639000000.0,46751000000.0,62192000000.0,38483000000.0,23709000000.0,108943000000.0,25959000000.0,134902000000.0,133844000000.0,-366000000.0,-366000000.0,,,-366000000.0,12301000000.0,11408000000.0,11408000000.0,,150000000.0,,,,,,,,,,,,,,,,,,,,,,
META,2022-12-31,-15795000.0,0.195,37771000000.0,23200000000.0,8686000000.0,25249000000.0,37690000000.0,29004000000.0,276000000.0,185000000.0,461000000.0,23265205000.0,23200000000.0,87665000000.0,28944000000.0,2702000000.0,2687000000.0,8.59,8.63,23200000000.0,23200000000.0,23200000000.0,23200000000.0,23200000000.0,5619000000.0,28819000000.0,-401000000.0,-320000000.0,276000000.0,185000000.0,461000000.0,28944000000.0,62416000000.0,35338000000.0,27078000000.0,91360000000.0,25249000000.0,116609000000.0,115801000000.0,-81000000.0,-81000000.0,,,-81000000.0,15262000000.0,11816000000.0,11816000000.0,,320000000.0,,,,,,,,,,,,,,,,,,,,,,
META,2021-12-31,,,,,,,,,,,,,,,,2859000000.0,2815000000.0,13.77,13.99,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,2026-01-31,0.0,0.15117,144552000000.0,120067000000.0,2843000000.0,62475000000.0,144552000000.0,141709000000.0,2041000000.0,259000000.0,2300000000.0,120067000000.0,120067000000.0,85551000000.0,130387000000.0,24514000000.0,24359000000.0,4.9,4.93,120067000000.0,120067000000.0,120067000000.0,120067000000.0,120067000000.0,21383000000.0,141450000000.0,9022000000.0,9022000000.0,2041000000.0,259000000.0,2300000000.0,130387000000.0,23076000000.0,18497000000.0,4579000000.0,153463000000.0,62475000000.0,215938000000.0,215938000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,2025-01-31,0.0,0.132649,86137000000.0,72880000000.0,1864000000.0,32639000000.0,86137000000.0,84273000000.0,1539000000.0,247000000.0,1786000000.0,72880000000.0,72880000000.0,49044000000.0,81453000000.0,24804000000.0,24555000000.0,2.94,2.97,72880000000.0,72880000000.0,72880000000.0,72880000000.0,72880000000.0,11146000000.0,84026000000.0,1034000000.0,1034000000.0,1539000000.0,247000000.0,1786000000.0,81453000000.0,16405000000.0,12914000000.0,3491000000.0,97858000000.0,32639000000.0,130497000000.0,130497000000.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
NVDA,2024-01-31,0.0,0.12,35583000000.0,29760000000.0,1508000000.0,16621000000.0,35583000000.0,34075000000.0,609000000.0,257000000.0,866000000.0,29760000000.0,29760000000.0,27950000000.0,32972000000.0,24940000000.0,24690000000.0,1.19,1.21,29760000000.0,29760000000.0,29760000000.0,29760000000.0,29760000000.0,4058000000.0,33818000000.0,237000000.0,237000000.0,609000000.0,257000000.0,866000000.0,32972000000.0,11329000000.0,8675000000.0,2654000000.0,44301000000.0,16621000000.0,60922000000.0,60922000000.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
NVDA,2023-01-31,-284130000.0,0.21,7339000000.0,4368000000.0,1543000000.0,11618000000.0,5986000000.0,4443000000.0,5000000.0,262000000.0,267000000.0,5436870000.0,4368000000.0,21397000000.0,4224000000.0,25070000000.0,24870000000.0,0.17,0.18,4368000000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,-187000000.0,4181000000.0,-1401000000.0,-48000000.0,5000000.0,262000000.0,267000000.0,5577000000.0,9779000000.0,7339000000.0,2440000000.0,15356000000.0,11618000000.0,26974000000.0,26974000000.0,-1353000000.0,-1353000000.0,-1353000000.0,,,,,,,,1353000000.0,,,,,,,,,,,,,,,,,,,,,
NVDA,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
AMZN,2025-12-31,3004930994.440505,0.196144,150021000000.0,77670000000.0,65756000000.0,356414000000.0,165341000000.0,99585000000.0,2107000000.0,2274000000.0,4381000000.0,65354930994.440506,77670000000.0,636949000000.0,79975000000.0,10827000000.0,10656000000.0,7.17,7.29,77670000000.0,77670000000.0,77670000000.0,77670000000.0,77670000000.0,19087000000.0,97311000000.0,15229000000.0,-91000000.0,2107000000.0,2274000000.0,4381000000.0,79975000000.0,280535000000.0,,58301000000.0,360510000000.0,356414000000.0,716924000000.0,716924000000.0,15320000000.0,15320000000.0,,,15320000000.0,47129000000.0,11172000000.0,11172000000.0,,,,-554000000.0,222234000000.0,,,,,,,,,,,,,,,,,,,
AMZN,2024-12-31,-247916460.197627,0.135031,125651000000.0,59248000000.0,52795000000.0,326288000000.0,123815000000.0,71020000000.0,2271000000.0,2406000000.0,4677000000.0,60836083539.802376,59248000000.0,569366000000.0,68593000000.0,10721000000.0,10473000000.0,5.53,5.66,59248000000.0,59248000000.0,59248000000.0,59248000000.0,59248000000.0,9265000000.0,68614000000.0,-2250000000.0,-414000000.0,2271000000.0,2406000000.0,4677000000.0,68593000000.0,243078000000.0,,55266000000.0,311671000000.0,326288000000.0,637959000000.0,637959000000.0,-1836000000.0,-1836000000.0,,,-1836000000.0,43907000000.0,11359000000.0,11359000000.0,,,,-101000000.0,187812000000.0,,,,,,,,,,,,,,,,,,,
AMZN,2023-12-31,199057432.702293,0.189579,88352000000.0,30425000000.0,48663000000.0,304739000000.0,89402000000.0,40739000000.0,-233000000.0,3182000000.0,2949000000.0,29574057432.702293,30425000000.0,537933000000.0,36852000000.0,10492000000.0,10304000000.0,2.9,2.95,30425000000.0,30425000000.0,30425000000.0,30425000000.0,30425000000.0,7120000000.0,37557000000.0,938000000.0,-112000000.0,-233000000.0,3182000000.0,2949000000.0,36852000000.0,233194000000.0,,56186000000.0,270046000000.0,304739000000.0,574785000000.0,574785000000.0,1050000000.0,1050000000.0,,,1050000000.0,44370000000.0,11816000000.0,11816000000.0,,,,-12000000.0,177008000000.0,,,,,,,,,,,,,,,,,,,
AMZN,2022-12-31,-3415860000.0,0.21,54618000000.0,-2722000000.0,41921000000.0,288831000000.0,38352000000.0,-3569000000.0,-1378000000.0,2367000000.0,989000000.0,10128140000.0,-2722000000.0,501735000000.0,12248000000.0,10189000000.0,10189000000.0,-0.27,-0.27,-2722000000.0,-2722000000.0,-2722000000.0,-2722000000.0,-2722000000.0,-3217000000.0,-5936000000.0,-16806000000.0,-540000000.0,-1378000000.0,2367000000.0,989000000.0,12248000000.0,212904000000.0,,54129000000.0,225152000000.0,288831000000.0,513983000000.0,513983000000.0,-16266000000.0,-16266000000.0,,,-16266000000.0,42238000000.0,11891000000.0,11891000000.0,,,,-3000000.0,158775000000.0,,,,,,,,,,,,,,,,,,,
CRM,2026-01-31,92665000.0,0.215,12117000000.0,7457000000.0,3631000000.0,6634000000.0,12548000000.0,8917000000.0,,,,7118665000.0,7457000000.0,32608000000.0,8331000000.0,956000000.0,950000000.0,7.8,7.85,7457000000.0,7457000000.0,7457000000.0,7457000000.0,7457000000.0,2063000000.0,9520000000.0,603000000.0,172000000.0,,,,8917000000.0,23338000000.0,5993000000.0,16350000000.0,32255000000.0,9270000000.0,41525000000.0,41525000000.0,431000000.0,431000000.0,-1082000000.0,496000000.0,1513000000.0,13350000000.0,3000000000.0,3000000000.0,,,586000000.0,,,995000000.0,995000000.0,995000000.0,995000000.0,,,,,,,,,,,,,,,
CRM,2025-01-31,-97194000.0,0.167,11725000000.0,6197000000.0,3477000000.0,6067000000.0,11143000000.0,7666000000.0,,,,6681806000.0,6197000000.0,30229000000.0,7205000000.0,974000000.0,962000000.0,6.36,6.44,6197000000.0,6197000000.0,6197000000.0,6197000000.0,6197000000.0,1241000000.0,7438000000.0,-228000000.0,354000000.0,,,,7666000000.0,21586000000.0,5493000000.0,15192000000.0,29252000000.0,8643000000.0,37895000000.0,37895000000.0,-582000000.0,-582000000.0,-1043000000.0,582000000.0,461000000.0,12356000000.0,2836000000.0,2836000000.0,,,461000000.0,,,901000000.0,901000000.0,901000000.0,901000000.0,,,,,,,,,,,,,,,
CRM,2024-01-31,-207460000.0,0.164,11223000000.0,4136000000.0,3959000000.0,5473000000.0,9958000000.0,5999000000.0,,,,5193540000.0,4136000000.0,28858000000.0,5011000000.0,984000000.0,974000000.0,4.2,4.25,4136000000.0,4136000000.0,4136000000.0,4136000000.0,4136000000.0,814000000.0,4950000000.0,-1049000000.0,216000000.0,,,,5999000000.0,20317000000.0,4906000000.0,14520000000.0,26316000000.0,8541000000.0,34857000000.0,34857000000.0,-1265000000.0,-1265000000.0,-1454000000.0,466000000.0,189000000.0,11986000000.0,2534000000.0,2534000000.0,,,988000000.0,,,891000000.0,891000000.0,891000000.0,891000000.0,1062000000.0,,,,,,,,,,,,,,
CRM,2023-01-31,-224070000.0,0.21,6711000000.0,208000000.0,3786000000.0,8360000000.0,5644000000.0,1858000000.0,,,,1050930000.0,208000000.0,29494000000.0,1030000000.0,997000000.0,992000000.0,0.21,0.21,208000000.0,208000000.0,208000000.0,208000000.0,208000000.0,452000000.0,660000000.0,-1198000000.0,-131000000.0,,,,1858000000.0,21134000000.0,5055000000.0,16079000000.0,22992000000.0,8360000000.0,31352000000.0,31352000000.0,-1067000000.0,-1067000000.0,-1319000000.0,491000000.0,252000000.0,13526000000.0,2553000000.0,2553000000.0,,,828000000.0,,,916000000.0,916000000.0,916000000.0,916000000.0,1256000000.0,,,,,,,,,,,,,,
CRM,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104000000.0,,,,,,,,,,,,,,
JPM,2025-12-31,220585577.519113,0.214161,,57048000000.0,8821000000.0,,,,95443000000.0,97898000000.0,193341000000.0,56238585577.51911,57048000000.0,,,2781500000.0,2776500000.0,20.02,20.05,55681000000.0,55681000000.0,57048000000.0,57048000000.0,57048000000.0,15547000000.0,72595000000.0,,,,,,,,,60018000000.0,,,181847000000.0,181847000000.0,1030000000.0,1030000000.0,1030000000.0,,-29000000.0,5531000000.0,54487000000.0,,,,-628000000.0,,,,,,,54487000000.0,268000000.0,1099000000.0,-402000000.0,16490000000.0,12356000000.0,7178000000.0,,,,,,,,
JPM,2024-12-31,1294403510.874922,0.221228,,58471000000.0,7938000000.0,,,,92583000000.0,101350000000.0,193933000000.0,53914403510.87492,58471000000.0,,,2879000000.0,2873900000.0,19.75,19.79,56868000000.0,56868000000.0,58471000000.0,58471000000.0,58471000000.0,16610000000.0,75081000000.0,,,,,,,,,56331000000.0,,,169439000000.0,169439000000.0,5851000000.0,5851000000.0,5851000000.0,,-1045000000.0,4974000000.0,51357000000.0,,,,674000000.0,,,,,,,51357000000.0,344000000.0,1259000000.0,-6525000000.0,14857000000.0,11057000000.0,7310000000.0,,,,,,,,
JPM,2023-12-31,-447272000.0,0.196,,49552000000.0,7512000000.0,,,,89267000000.0,81321000000.0,170588000000.0,51386728000.0,49552000000.0,,,2943100000.0,2938600000.0,16.23,16.25,47760000000.0,47760000000.0,49552000000.0,49552000000.0,49552000000.0,12060000000.0,61612000000.0,,,,,,,,,51056000000.0,,,154952000000.0,154952000000.0,-2282000000.0,-2282000000.0,-2282000000.0,,-3218000000.0,4591000000.0,46465000000.0,,,,-2054000000.0,,,,,,,46465000000.0,291000000.0,1501000000.0,4336000000.0,13836000000.0,10235000000.0,6649000000.0,,,,,,,,
